Ticker,MarketCap,BookValue,InvestmentGrowth,OperatingProfitability(%)
NVR,21178377056.0,1380.613,-0.08212803409127238,122359995.16156954
NXPI,58456429379.170006,39.77,0.001314006487907034,8730198642.192606
ORLY,78718513753.0,-0.907,0.07357791161894026,-358451708930.5402
OXY,51073308898.560005,28.14,0.15453734731380392,19875621890.547264
ODFL,42110334630.21,20.642,-0.003809234936623713,7479885669.993217
OMC,26193901064.640003,38.473,0.056199767513175444,5912198164.946846
ON,27230758828.3,19.341,-0.11112293999914832,3883460007.2385087
OKE,54950791872.81,35.058,0.44736366511543846,14438929773.51817
ORCL,425595395280.00006,10.425,0.19425292248325957,173160671462.82974
OTIS,36022754033.91,-13.833,-0.058589607635206785,-16041350393.985397
PCAR,67492884000.00001,36.665,0.06357873180577805,13343515614.346106
PKG,21343460063.07,53.211,0.01752082109410098,2204055552.423371
PLTR,308933331782.88,3.089,0.4020982105839234,10048656523.14665
PANW,120160682908.4,13.361,0.17934660270423042,9302447421.60018
PSKY,11477553323.67,10.934,-0.13766505425545822,14706420340.223158
PH,129022322439.67,113.385,0.0066898764420779576,3580720553.8651495
PAYX,32752190138.0,10.809,0.5952942762758714,20424646128.22648
PAYC,6286108000.0,32.364,0.3960452650387135,
PYPL,38345678174.299995,22.017,0.01839314067958082,29050279329.60894
PNR,16696381016.4,23.679,-0.017795925829994057,3786055154.3561807
PEP,225415094801.82,14.928,0.07974504106889722,90373794212.21864
PFE,151524106260.8,16.321,-0.05785846420104106,90864530359.65933
PCG,40354691635.44,14.086,0.05948675744426156,34424251029.390884
PM,285495034788.60004,-6.42,0.11978829470413052,-232601246105.91904
PSX,62754966776.25,72.526,-0.038661739579608216,2407412514.132863
PNW,11770353837.66,59.888,0.05845659365561699,1689926195.565055
PNC,94193003458.75,140.433,-0.002745824281491506,
POOL,8255230644.08,32.222,-0.017468731658765228,1915473899.8199987
PPG,28393332000.0,35.542,-0.10227745184090174,6434640706.769455
PPL,27695834786.879997,20.106,0.046717300438372925,8654133094.598627
PFG,20818224000.0,54.669,0.02824780599167275,2873657831.677916
PG,373652830134.3,22.493,0.023379913377461797,90921620059.5741
PGR,119611288000.0,51.737,0.19228557576304248,
PLD,131443969169.99998,57.18,0.035617180933015816,5971147254.284715
PRU,35997120000.0,93.228,0.05186742016919821,3835757497.747458
PEG,42712605726.32,34.086,0.07684121322007843,6920729918.441589
PTC,18463437358.56,32.319,0.03659880361091068,3088053467.000835
PSA,53529466335.0,27.91,0.022964895757181473,8099215335.005374
PHM,26903662211.34,67.378,0.03943039305477736,4420705571.551545
PWR,82410386109.42,59.757,0.15068270594267186,2180578007.5974364
QCOM,152452960000.0,21.483,-0.09085469775537586,57692128659.87059
DGX,22314156492.42,65.182,0.1519754671230923,2064987266.4232454
Q,23765693991.239998,43.554,-0.019415148609779484,1926344308.215089
RL,14883387399.109999,47.663,0.06735225517220489,2076873046.1783774
RJF,31191627515.62,63.396,0.06311451706188548,3367720360.906051
RTX,275061590565.92,48.607,0.050460208398573014,19133046680.519268
O,60723515297.1,42.451,0.1913431123852763,5467310546.276884
REG,14056369212.849998,36.632,0.049170748681342684,1591682135.8375192
REGN,81009786922.2,304.648,0.07413518223276853,1215172920.8791785
RF,26092080000.0,20.362,0.033562426902506014,
RSG,67949209980.5,38.857,0.03158229863100923,8297089327.534292
RMD,37748187267.12,43.394,0.18945319491286441,3888542194.7734714
RVTY,11374976054.93,64.041,-0.08641474006177079,541435955.0912697
HOOD,60152145382.56,10.141,0.48587153881071266,10413174243.171286
ROK,44807210131.32,33.34,-0.0011574074074074073,4268146370.7258544
ROL,29515007758.350002,2.856,0.11378110043816796,25422549019.607845
ROP,35795214000.0,186.506,0.11244164373835093,
ROST,65157980745.6,18.175,0.042322964111672155,14226057771.664375
RCL,85240762992.26999,37.116,0.12271378473158888,13228796206.487768
SPGI,124743024000.0,104.173,0.016256787499377295,5929559482.783446
CRM,173494920000.0,63.717,0.03110505594902978,12031326019.743555
SNDK,95914284832.53,69.007,-0.03857544794905968,734708073.094034
SBAC,21263581020.0,-46.21,0.12171755969308069,-3396740965.159056
SLB,76037606012.25,17.46,0.12124246449371616,31260022909.507442
STX,89652018574.37001,2.104,0.03669724770642202,91017110266.15968
SRE,61058356289.549995,47.741,0.1029352725937991,6204310760.143273
NOW,109066420000.0,12.379,0.2774370799195408,14734631230.309395
SHW,89397837593.19,18.671,0.02954553375387725,20148358416.7961
SPG,65596040979.0,15.89,-0.054772828732893186,
SWKS,9029935400.6,38.418,-0.044221505921553,1364464573.8976521
